Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
A-A-59174,"Press, Arbor, Mechanical, Hand Operated",3444,GS6,1-Apr-1998,"Notice: 1 8-Aug-2003",,
A-A-59176A,"Marker Light, Personal Distress",6230,IS,7-Jul-2004,"Notice: 2 27-Nov-2007",,
A-A-59177,"Mortar, Refractory: Heat-Setting and Air-Setting Wet and Dry",9350,IS,20-Mar-1998,"Notice: 1 12-Mar-2004",,
A-A-59179,"Iron Oxide, Black, Technical",6810,GS,2-Apr-1998,,,
A-A-59180A,"Lathe, Bench and Jeweler's, Horizontal Spindle",3416,GS6,31-May-2005,,,
A-A-59181,"Interceptor, Grease",7330,GL,4-Mar-1998,"Notice: 1 19-Mar-2003",,
A-A-59182,"Hammer, Piledriver, Self-Powered, Diesel",3895,IS,15-Apr-1998,,,
A-A-59183,Icemaker-Dispenser With Water Dispenser Attachment (Naval Sh,4110,SH,27-May-1998,,,
A-A-59184,"Dispenser, Carbonated Beverage, Mechanically Refrigerated (N",7310,SH,16-Jun-1998,,,
A-A-59185,"Heater, Hot Water Booster, Electric; Sink, Sanitizing (Naval",7320,SH,27-May-1998,,,
A-A-59189,"Oven, Baking and Roasting, Forced Convection, Electric (Nava",7310,SH,12-May-1998,,,
A-A-59190,"Cold Food Counter, Mechanically Refrigerated (Naval Shipboar",7310,SH,12-May-1998,,,
A-A-59191,"Urn, Coffee, Single and Twin, Automatic, Electric (Naval Shi",7310,SH,12-May-1998,,,
A-A-59192,"Tube and Flue Cleaner, Boiler, Internal, Air Motor Driven",4940,SH,20-May-1998,,,
A-A-59193,"Brushes, Wire, Boiler Tube, Expanding Type for Use With Elec",5120,SH,20-May-1998,,,
A-A-59194,"Bus Transer Switches, Electric Power, Automatic Shipboard (N",5930,SH,5-May-1998,,,
A-A-59231A,"Ethanolamines (Monoethanolamine and Triethanolamine), Techni",6810,GS3,17-Jan-2007,"Notice: 1 20-Jun-2003",,
A-A-59339,Guanidine Nitrate,6810,AS,15-Sep-1998,,,
A-A-59186,"Well, Hot Food Storage, Electric (Naval Shipboard)",7310,SH,9-Sep-1998,,,
A-A-59187,"Range, Convection Oven, Electric, Modular (Naval Shipboard)",7310,SH,9-Sep-1998,,,
A-A-59004A,"Anti-Galling Compound, Thread Lubricating, Seizing Resistant",9150,SH,7-Sep-1995,"Notice: 3 13-Jun-2007",,
A-A-20290,"Broccoli, Fresh Cut",8915,FV,8-Jan-1999,,,
A-A-3116,"Stool, Step, Caster Mounted, Safety",7105,FSS,31-Dec-1997,,,
A-A-3173A,"Office Furniture, Wood, Unitized",7110,FSS,13-Jan-1999,,,
A-A-51404A,"Naproxen Tablets, USP",6505,MB,15-Sep-1986,,,
A-A-51416A,"Aminocaproic Acid Tablets, USP",6505,MB,16-Sep-1986,,,
A-A-51423A,"Cefotaxine Sodium, Sterile USP",6505,MB,16-Sep-1986,,,
A-A-51466A,"Bag, Biohazard Disposal",6530,MB,29-Apr-1988,,,
A-A-51478,"Screen, X-Ray Protective",6525,MB,20-Jun-1986,,,
A-A-51500,"Nail, Bone, Hansen-Street Diamond Cross Section, One End Thr",6515,MB,20-Jun-1986,,,
A-A-51502A,Terfenadine Tablets,6505,MB,11-Jun-1987,,,
A-A-51538,"Cup, Dental Amalgam",6520,MB,31-Jul-1986,,,
A-A-0051543,"Phenylpropanolamine Hydrochloride, Acetaminophen and Chlorph",6505,MB,27-Jun-1986,,,
A-A-51546A,"Drain, Closed Suction (Jackson-Pratt Style)",6515,MB,3-Feb-1987,,,
A-A-0051547,"Sponge-Brush, Surgical",6510,MB,7-Jul-1986,,,
A-A-51548,Wright's Staining Solution,6550,MB,7-Jul-1986,,,
A-A-59624A,"Bearing Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,27-May-2004,,,
A-A-59625A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,27-May-2004,,,
A-A-59626A,"Bearing, Ball, Annular, Single Row, Angular Contact,",3110,GS4,27-May-2004,,,
A-A-59627A,"Bearing, Ball, Annular, Single Row, Angular Contact, Con",3110,GS4,6-Aug-2004,,,
A-A-59628A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59629A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59630A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59631A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59632A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59633A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59634A,"Bearing, Ball, Annular, Single Row, Angular Contact, Contact",3110,GS4,6-Aug-2004,,,
A-A-59688C,"Fuse, Cartridge, Instrument Type, 5 MM X 20 MM, Quick-Acting",5920,CC,3-May-2007,,,
A-A-59688/1B,"Fuse, Cartridge, Instrument Type, 5 MM X 20 MM, Quick-Acting",5920,CC,28-Oct-2004,,,
A-A-59688/2B,"Fuse, Cartridge, Instrument Type, 5 MM X 20 MM, Quick-Acting",5920,CC,28-Oct-2004,,,
A-A-59688/3B,"Fuse, Cartridge, Instrument Type, 5 MM X 20 MM, Time-Delay,",5920,CC,28-Oct-2004,,,
A-A-59664A,"Cleaning Compound, Windshield (Solvent and Anti-Freeze)",6850,GS3,30-Aug-2001,,,
A-A-59565,"Hose, Runner, and Hose Assemblies, Rubber: Pneumatic (Yarn o",4720,CC,2-Jul-2001,,,
A-A-59566,"Hose, Rubber, and Hose Assemblies, Rubber: Smooth Bore, Wate",4720,CC,2-Jul-2001,"Notice: 0 --",,
A-A-59553,"Coupling Halves, Cap and Wye; Quick Disconnect Pneumatic Hos",4730,CC,28-Jun-2001,"Notice: 1 30-Oct-2006",,
A-A-59552,"Grinding Machines, Valve Face",4910,CC,18-Jul-2001,,,
A-A-59568,"Gages, Tire Pressure, Self Contained and Inflator Gage, Pneu",4910,CC,24-Jul-2001,,,
A-A-59564,"Containers, Fluid, for Paint Spray Equipment",4940,CC,18-Jul-2001,,,
A-A-700B,"Chair, Shell, Rotary, High Back",7110,FSS,2-Aug-1984,,,
A-A-701A,"Chair, Shell, Rotary, Low Back",7110,FSS,23-Feb-1983,,,
A-A-702A,"Chair, Shell, Rotary, Side",7110,FSS,23-Feb-1983,,,
A-A-703A,"Chair, Shell, Rotary, Secretarial",7110,FSS,23-Feb-1983,,,
A-A-706,Storage Cabinets for Flammable Liquids,7125,FSS,15-Apr-1981,,,
A-A-708,Storage Cabinets for Forms,7110,FSS,13-Apr-1981,,,
A-A-710,"Chairs, Easy (Recliners)",7105,FSS,7-May-1981,,,
A-A-2691A,"Wrench, Impact, Pneumatic, Portable (Closed Grip)",5130,FSS,10-Aug-1995,"Notice: 0 --",,
A-A-2695B,"Pen, Rollerball-point, Retractable & Non-Retractable (Refill",7520,FSS,1-Jul-1996,,,
A-A-2702B,"Sealing Compound (Liquid Protectant and ""Beautifier"")",8030,FAS,6-Jul-1998,,,
A-A-2711,"Screwdriver, Cross Tip (High Performance)",5120,FSS,15-Mar-1991,"Notice: 2 3-Nov-2005",,
A-A-2712,"Screwdriver, Flat Tip (High Performance)",5120,FSS,15-Mar-1991,,,
A-A-50133,"Table, Fiberglass, Banana Display, Pedestal Mounted",7195,IS,28-Sep-1987,,,
A-A-50134A,"Handcart, Grocery, Handicapped",7290,GL,5-Nov-1992,,,
A-A-50135,"Cloth, Interlining, Polyester",8305,GL,5-Oct-1987,,,
A-A-50136A,"Bag, Money",8460,GL,12-Feb-1992,,,
A-A-50137B,"Shoes, Gymnasium, Basketball and Other Activities",8430,GL,15-Feb-1994,,,
A-A-50139C,"Rope, Kernmantle",4020,IS,25-Feb-2004,,,
A-A-50148,"Glass, Votive",9925,GS,21-Jan-1988,"Notice: 0 --",,"Int Amendment: 0 --"
A-A-50149,"Vase, Chapel, Altar",9925,GS,21-Jan-1988,"Notice: 0 --",,"Int Amendment: 0 --"
A-A-50150,"Sanctuary Lamps, Candle Type, Electric Type",9925,GS,21-Jan-1988,,,
A-A-50151,"Stand, Bible and Missal",9925,GS,21-Jan-1988,,,
A-A-50152,"Fair Linen, Altar",9925,GS,19-Jan-1988,,,
A-A-50153,"Detergent, Laundry, Nonionic, Liquid",7930,GL,1-Feb-1988,,,
A-A-50155,"Cloth, Muslin, Cotton",8305,GL,21-Mar-1988,,,
A-A-50157,"Tray, Cruet, Communion",9925,GS,22-Mar-1988,,,
A-A-50158,"Candlestick, Altar",9925,GS,22-Mar-1988,,,
A-A-50159,"Candelabra, Chapel",9925,GS,22-Mar-1988,,,
A-A-50161,"Cloth, Denim, Cotton",8305,GL,1-Apr-1988,,,
A-A-51447,Stretcher (Veterinary),3770,MB,30-May-1986,,,
A-A-51448A,"Table, Surgical Instrument and Surgical Dressing Angular-Top",6530,MB,30-May-1989,,,
A-A-51449A,"Table, Surgical Instrument and Surgical Dressing Straight-To",6530,MB,24-Mar-1989,,,
A-A-51454A,"Stockinet, Surgical, Cotton (6 Inches by 48 Inches, Rolled a",6510,MB,13-Mar-1989,,,
A-A-51455,"Tube, Drainage, Surgical, Thoracic, Plastic, Radiopaque, Str",6515,MB,20-May-1986,,,
A-A-51456A,"Tube, Centrifuge",6640,MB,7-Mar-1988,,,
A-A-51457,"Handle-Electrode, Electrosurgery",6515,MB,30-Jan-1987,,,
A-A-51460A,"Wheel, Abrasive (Aluminum Oxide, Mandrel Mounted)",6520,MB,23-Jun-1986,,,
A-A-51463,"Suction Set, Tracheal",6515,MB,6-Jun-1986,,,
A-A-51464,"Reservoir, Suction, Jackson-Pratt, Silicone",6515,MB,9-Jun-1986,,,
A-A-51467,"Dynamometer, Hand, Hydraulic",6530,MB,16-Jun-1986,,,
A-A-51468,"Intravenous Injection Set, With Flexible Drip Chamber, Non-V",6515,MB,30-May-1986,,,
A-A-51472,"Holder, Bag, Biohazard",6530,MB,16-Jun-1986,,,
A-A-51474,"Bone Plate, Broad, Orthopedic Implant, Self-Compressing Hole",6515,MB,11-Jun-1986,,,
A-A-51475,"Nail, Bone, Schneider, Double Point",6515,MB,11-Jun-1986,,,
A-A-51479,"Betamethasone Valerate Ointment, USP",6505,MB,7-Jun-1990,,,
A-A-51480A,"Bag, Urine Collection, Pediatric",6530,MB,30-May-1989,,,
A-A-51481A,"Wheel, Abrasive (Silicon Carbide, Non-Heating)",6520,MB,28-Dec-1987,,,
A-A-53031,"Prism Bar, Ophthalmic",6540,MB,29-Jun-1987,,,
A-A-53032,"Screen, Tangent, Eye Examining",6540,MB,29-Jun-1987,,,
A-A-53034,"Thermometer, Self-Indicating, Bimetallic",6685,MB,30-Jun-1987,,,
A-A-53035,Ophthalmometer,6540,MB,30-Jun-1987,,,
A-A-53036,"Ophthalmoscope, Polarizing Type",6540,MB,30-Jun-1987,,,
A-A-53038,"Plastic Strip, Dental Surface Protection (Mouthguard)",6520,MB,6-Jul-1987,,,
A-A-0053041A,Multivitamin Tablets,6505,MB,25-Jan-1988,,,
A-A-0053042,"Sodium Chloride Tablets for Solution, USP",6505,MB,19-Jun-1987,,,
A-A-53046A,"Forceps, Utility (Straight, Small)",6515,MB,18-May-1989,,,
A-A-53053,"Soybean-Casein Digest Agar Medium, Dehydrated",6545,MB,21-Jul-1987,,,
A-A-53056,"Holder, Laboratory Needle (Dissecting)",6640,MB,10-Jul-1987,,,
A-A-53057,"Swab, Culture (Calcium Alginate Wool Tipped)",6515,MB,13-Jul-1987,,,
A-A-53058A,"Pipet, Bacteriological (Pasteur Type)",6640,DM,1-Feb-1993,,,
A-A-0053059,"Kits, Thread-Forming Mounted Pins, Dental",6520,MB,17-Aug-1987,,,
A-A-53061,Temazepam (Capsules),6505,MB,9-Jul-1987,,,
A-A-0053063,"Infusion Set, Scalp Vein (27 gage by 3/8 Inch Needle, With",6515,MB,10-Jul-1987,,,
A-A-54039,"Suction, Apparatus, Oropharyngeal, Tracheal, Aeromedical, Po",6515,MB,30-Mar-1990,,,
A-A-54040,"Regulator, Oxygen Pressure (Lightweight with Integral Flow C",6680,MB,19-Mar-1993,,,
A-A-54041,"Pin, Safety, Surgical",6530,MB,19-Jan-1990,,,
A-A-54042,"Pacemaker Cardiac External Type, Battery Operated",6515,MB,19-Jan-1990,,,
A-A-54043A,Otoscope and Ophthalmoscope Set,6515,MB,29-Jul-1991,,,
A-A-54044,"Tonometer, Ophthalmic, Schiotz",6540,MB,30-Nov-1989,,,
A-A-54045,"Magnifier, Spectacle, Gullstrand",6540,MB,30-Nov-1989,,,
A-A-54049,"Codeine Sulfate Tablets, USP",6505,MB,30-Nov-1989,,,
A-A-54054,"Diazepam Tablets, USP",6505,MB,15-Dec-1989,,,
A-A-54057,Diphenhydramine Hydrochloride Syrup,6505,MB,29-Dec-1989,,,
A-A-54062,"Forceps, Aneurysm Clip Applying, Bayonet, 8-1/4 Inch (Yasarg",6515,MB,7-Feb-1990,,,
A-A-54063,"Pipet, Transfer (Urinalysis)",6640,MB,19-Jan-1990,,,
A-A-54064,"Scaler, Dental (Younger-Good)",6520,MB,15-Feb-1990,,,
A-A-54065,"Slide, Microscope (Boerner Test)",6640,MB,12-Jan-1990,,,
A-A-54964,"Monitoring Set, Arterial Blood Gas Sampling and Pressure",6515,MB,15-Jul-1994,,,
A-A-54965,"Tube, Inhaler, (Conductive Rubber)",6515,MB,15-Jul-1994,,,
A-A-54966,"Wax, Baseplate, Dental",6520,MB,15-Jul-1994,,,
A-A-54967,"Manipulator-Injector, Uterine",6515,MB,31-Jul-1994,"Notice: 1 20-Feb-2008",,
A-A-54970,"Microscope, Optical",6650,MB,29-Jul-1994,,,
A-A-54971,"Atomizer, Medicinal",6515,MB,31-Aug-1994,,,
A-A-54972,"Suture, Nonabsorbable, Surgical, Corrosion-Resisting Steel,",6515,MB,8-Sep-1994,,,
A-A-54973,"Suture, Nonabsorbable, Surgical, Silk",6515,MB,9-Sep-1974,,,
A-A-54974,"Suture, Nonabsorbable, Surgical, Nylon",6515,MB,9-Sep-1994,,,
A-A-54975,"Suture, Absorbable Surgical (Gut)",6515,MB,31-Oct-1994,,,
A-A-54976,"Suture, Absorbable, Surgical, Gut",6515,MB,9-Sep-1994,,,
A-A-54977,"Suture, Nonabsorbable, Surgical, Corrosion-Resisting Steel,",6515,MB,9-Sep-1994,,,
A-A-54978,"Cannula, Tracheostomy, Nylon",6515,MB,31-Aug-1994,,,
A-A-54979,"Incubator, Bacteriological",6640,MB,31-Aug-1994,,,
A-A-54980,"Curette, Ear, Billeau",6515,MB,30-Sep-1994,,,
A-A-54981,"Humidifier, Portable (Therapeutic)",6530,MB,20-Jan-1995,,,
A-A-54982,"Scissors, General Surgical (Angular, Potts Smith)",6515,MB,30-Sep-1994,,,
A-A-54983,"Punch, Cutaneous Biopsy, Keyes",6515,MB,30-Sep-1994,,,
A-A-54984,"Mask, Oronasal, Face Tent",6515,MB,30-Sep-1994,,,
A-A-54985,"Valve Kit, Oxygen, Positive End Expiratory Pressure",6530,MB,16-Dec-1994,,,
A-A-54986,"Concentrator, Oxygen",6515,MB,16-Dec-1994,,,
A-A-54987,"Table, Operating, Hospital (Pedestal)",6530,MB,14-Oct-1994,,,
