Document Number,Document Title,Document Date,Cancelled/Superceding Document,Cancelled/Superceding Date
QQ-A-250/14E,"Aluminum Alloy 7178, Plate and Sheet",28-Jan-1971,SAE-AMS-QQ-A-250,Superceding Date: 21-Jun-2005
QQ-A-250/9F,"Aluminum Alloy 5456, Plate and Sheet",18-Jan-1971,SAE-AMS-QQ-A-250,Superceding Date: 21-Jun-2005
A-A-2131A,"Hose Assembly, Non-Metallic (Fire, 600 Lbs Test Pressure)",4-Oct-1983,A-A-59226,Superceding Date: 31-Aug-1998
FED-STD-101/5007.1,Drop Test (Free Fall),13-Mar-1980,ASTM-D5276,Superceding Date: 19-May-1998
FED-STD-101/2007.1,Bursting Strength of Sheet Materials,13-Mar-1980,ASTM-D774,Superceding Date: 29-May-1998
TT-M-90,"Mannesium-Silicate, Dry (Paint-Pigment)",29-Oct-1942,TT-P-403,Superceding Date: 14-Sep-1960
QQ-B-71A(3),"Bar, Reinforcement, (For) Concrete",12-Jan-1938,QQ-S-632,Superceding Date: 24-Jul-1957
O-S-61,"Salt, Nickel, (For) Electroplating and Electrotyping",27-May-1930,O-H-765,Superceding Date: 11-Jan-1962
JJJ-S-71E,"Sauerkraut, Canned",22-Jun-1965,JJJ-V-1746/18,Superceding Date: 13-Jan-1973
W-M-46(2),"Machines, Floor-Polishing and Scrubbing: Electric",3-Oct-1941,OO-P-570,Superceding Date: 7-Aug-1964
G-L-41,Labels: Microslide,2-Oct-1940,UU-L-49,Superceding Date: 8-Aug-1956
AA-C-23,"Cabinets, Filing, Insulated, Fire-Resisting",16-Jan-1942,AA-F-355,Superceding Date: 21-Jun-1961
PPP-T-1999(1),"Trays and Boards, Prepacking (Paperboard And molded Pulp)",18-Dec-1975,A-A-1253B,Superceding Date: 9-Jan-1982
PPP-T-1835,"Trays, Plastic, Foam and Clear",19-Oct-1973,A-A-885B,Superceding Date: 6-Mar-1982
PPP-T-1150B,"Tools and Tool Accessories for Power Driven, Metal and Woodw",28-Sep-1978,PPP-P-40B,Superceding Date: 18-Apr-1988
PPP-T-97D,"Tape, Packaging/Industrial, Filament Reinforced",1-May-1970,ASTM-D5330,Superceding Date: 11-Jan-1996
PPP-T-76C,"Tape, Packaging, Paper (for Carton Sealing)",10-May-1976,ASTM-D5486-93,Superceding Date: 6-Dec-1995
PPP-T-70A,"Tape, Packaging, Plastic Film",5-Feb-1974,A-A-1684A,Superceding Date: 10-Mar-1995
PPP-T-66E,"Tape, Packaging, Vinyl Plastic Film",20-Dec-1976,A-A-1689,Superceding Date: 6-Jan-1997
PPP-T-45D,"Tape, Gummed, Paper, Reinforced and Plain, for Sealing and",14-Apr-1977,A-A-1492,Superceding Date: 28-Jun-1993
PPP-T-42C,"Tape, Packaging/Masking, Paper",2-Jan-1975,A-A-883A,Superceding Date: 6-Oct-1980
PPP-S-1927A,"Sack, Shipping, Paper (Reinforced)",10-Dec-1976,A-A-157,Superceding Date: 30-Mar-1992
PPP-S-760B,"Strapping, Non-Metallic (and Connectors)",28-Sep-1973,ASTM-D3950,Superceding Date: 20-Sep-1990
PPP-S-30D(4),"Sacks, Shipping, Paper (Cushioned)",27-Sep-1974,A-A-160D,Superceding Date: 30-Apr-1991
PPP-P-1260B,"Plywood, Packaging, Packing, and Marking of",18-Apr-1974,A-A-55057,Superceding Date: 21-Nov-1997
PPP-P-1135B,Packaging and Packing of Duck Fabrics (Cotton; Synthetic Fib,28-Sep-1994,FED-STD-804,Superceding Date: 1-Oct-1993
PPP-P-1134D,Packaging of Cotton and Cotton-Synthetic Fiber Blend Fabrics,28-Oct-1983,FED-STD-803,Superceding Date: 1-Oct-1993
PPP-P-1133C,Packaging of Synthetic Fiber Fabrics,28-Oct-1983,FED-STD-802,Superceding Date: 1-Oct-1993
PPP-P-1010,"Packaging, Packing, and Marking: Benches, Bins, Cabinets, an",22-Dec-1967,MIL-B-45977,Superceding Date: 7-Sep-1976
PPP-P-700C,"Protector, Packing List",10-Oct-1974,A-A-1907A,Superceding Date: 27-Mar-1991
PPP-P-00680,"Preservation, Packaging and Packing of Tape, Adhesive Pressu",17-Mar-1960,PPP-T-680E,Superceding Date: 1-Apr-1962
PPP-P-291E,"Paperboard, Wrapping, and Cushioning",9-Feb-1976,A-A-1051,Superceding Date: 13-Jul-1995
PPP-P-51C(3),"Packaging, Packing, and Marketing of Textile Fabrics (Woolen",15-Apr-1963,PPP-P-1132C,Superceding Date: 8-May-1967
PPP-H-1581A,"Hardware (Fasteners and Related Items), Packaging of",30-Mar-1977,ASTM--D3951,Superceding Date: 4-Dec-1999
PPP-F-320E,"Fiberboard: Corrugated and Solid, Sheet Stock (Container Gra",4-Jan-1991,ASTM-D4727,Superceding Date: 2-Mar-1994
PPP-E-1533D(1),"Envelopes, Packaging, Cushioned",14-Mar-1975,A-A-286B,Superceding Date: 30-Apr-1991
QQ-C-320B(4),Chromium Plating (Electrodeposited),17-Jun-1974,SAE-AMSQQ-C-320,Superceding Date: 3-May-2001
L-E-00530B,"Envelope, Transparent",15-May-1970,A-A-2790,Superceding Date: 25-Jun-1992
FED-STD-141/6225,Elongation of Cast Films,24-Jan-1986,ASTM-D2370,Superceding Date: 22-Mar-2001
FED-STD-141/4572,Bleeding (Oil Base Vehicle),24-Jan-1986,ASTM-D279,Superceding Date: 22-Mar-2001
FED-STD-141/4303,Distillation of Aromati Hydrocarbons,24-Jan-1986,ASTM-D1078,Superceding Date: 22-Mar-2001
FED-STD-141/4302,Distillation of Liquid Naval Stores,24-Jan-2001,ASTM-D1078,Superceding Date: 22-Mar-2001
FED-STD-141/4292,Flash Points of Lacquer Solvents or Diluents of Low,24-Jan-1986,ASTM-D56,Superceding Date: 22-Mar-2001
FED-STD-141/4262,Appearance of Pigmented Materials,24-Jan-1986,FED-STD-141/3011,Superceding Date: 22-Mar-2001
FED-STD-141/4063,Drying Time (Drying Oils and Resin Solutions),24-Jan-1986,FED-STD-141/4061,Superceding Date: 22-Mar-2001
FED-STD-141/4062,Drying Time (Oil Base Paints),24-Jan-1986,FED-STD-141/4061,Superceding Date: 22-Mar-2001
KK-L-241D(3),"Leather, Cattlehide, Rigging",31-Jul-1969,MIL-DTL-32069,Superceding Date: 12-Oct-2000
GGG-N-202C,"Needle, Sailmaker's",16-Jun-1971,A-A-55306,Superceding Date: 12-Oct-2000
FED-STD-00143B,"Spark Plug, Heat Rating Of, Method of Classifying",10-Aug-1962,SAE-J2162,Superceding Date: 4-Apr-2001
FED-STD-141/7501,Identification of Drying Oils (Gas-Liquid Chromatography,1-Sep-1965,ASTM-D2800,Superceding Date: 22-Mar-2001
FED-STD-141/5091,Qualitative Test for Benzene (EPA Method 311),1-Sep-1965,EPA Method 311,Superceding Date: 22-Mar-2001
FED-STD-141/7355,Distillation of Solvents From Enamels and Lacquers,7-Jul-1972,ASTM-D3272,Superceding Date: 22-Mar-2001
FED-STD-141/7233,Analysis of Aluminum in Aluminum Powder and Aluminum Paste,1-Sep-1965,ASTM-D480,Superceding Date: 22-Mar-2001
FED-STD-141/7121,Analysis of Chromium Oxide Green Pigment,1-Sep-1965,"ASTM-D126-SECTION1,2",Superceding Date: 22-Mar-2001
FED-STD-141/6461,Degree of Blistering of Paints,1-Sep-1965,ASTM-D7114,Superceding Date: 22-Mar-2001
FED-STD-141/6224.1,Elongation and Tensile Strength of Free Films,1-Sep-1965,ASTM-D2370,Superceding Date: 22-Mar-2001
FED-STD-141/6181,Dry Film Thickness (Magnetic Type Gage),1-Sep-1965,ASTM-D1186,Superceding Date: 22-Mar-2001
FED-STD-141/6125,Luminance Factor of Retroreflective Materials Instrumental,1-May-1974,FED-STD-370,Superceding Date: 22-Mar-2001
FED-STD-141/5265,Ash (Liquid Driers),1-Sep-1965,ASTM-D1951,Superceding Date: 22-Mar-2001
FED-STD-141/5241,Water Solubility (Pigments),1-Sep-1965,"ASTM-D1208,SEC5",Superceding Date: 22-Mar-2001
FED-STD-141/5181,Aniline Point,1-Sep-1965,ASTM-D611,Superceding Date: 22-Mar-2001
FED-STD-141/5031,Qualitative Test for Rosin (Lieberman-Storch),1-Sep-1965,"ASTM-D1542,Sec1-4.1",Superceding Date: 22-Mar-2001
FED-STD-141/4442,Quality Test (Tung Oil),1-Sep-1965,ASTM-D1964,Superceding Date: 22-Mar-2001
FED-STD-141/4287,Viscosity (Brookfield),1-Sep-1965,ASTM-D2196 TMEDA,Superceding Date: 22-Mar-2001
FED-STD-141/4255,Color of Lacquer Resin and Shellac Varnish by Comparison of,1-Sep-1965,ASTM-D29,Superceding Date: 22-Mar-2001
FED-STD-141/4249.1,"Color Differences of Opaque Materials, Visual Evaluation",1-Sep-1965,ASTM-D1729,Superceding Date: 22-Mar-2001
FED-STD-141/4083,Water in Solvents and Thinners by Turbidity Method,1-Sep-1965,ASTM-D1476,Superceding Date: 22-Mar-2001
FED-STD-141/4045,Nonvolatile Matter in Solvents and Diluents,1-Sep-1965,ASTM-D1353,Superceding Date: 22-Mar-2001
FED-STD-141/3018,Package Stability of Latex Paints,1-Sep-1965,ASTM-D1849,Superceding Date: 22-Mar-2001
FED-STD-141/2121,Application of Dipped Films,1-Sep-1965,"ASTM-D823, PRACTICEB",Superceding Date: 22-Mar-2001
FED-STD-141/2021,Preparation of Glass Panels,24-Jan-1986,ASTM-D3891,Superceding Date: 22-Mar-2001
A-A-52413,"Hose, Rubber, Oil Suction, Wire-Reinforced",18-Jan-1993,SAE-J517,Superceding Date: 23-Mar-2001
FF-B-2844/4,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",6-Feb-2001,A-A-59643,Superceding Date: 6-Feb-2001
QQ-A-200/GEN(1),"Aluminum Alloy, Bar, Rod, shapes, Structural Shapes, Tube an",6-Nov-1980,AMS-QQ-A-200,Superceding Date: 13-Dec-2002
A-A-55158,"Resistor, Wirewound, Inductive, Power Type",11-Jun-1992,A-A-59715/1,Superceding Date: 10-Jun-2002
A-A-2121A,"Cover, Paint Roller",20-Mar-1995,A-A-2851,Superceding Date: 9-Apr-2002
FF-B-2844/8,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59648,Superceding Date: 30-Oct-2001
FF-B-2844/7,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59647,Superceding Date: 30-Oct-2001
FF-B-2844/6,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59646,Superceding Date: 30-Oct-2001
FF-B-2844/5,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59644,Superceding Date: 30-Oct-2001
FF-B-2844/3,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59645,Superceding Date: 30-Oct-2001
FF-B-2844/2,"Bearing, Ball, Annular: Single Row, Radial, Non-Filling Slot",15-Feb-1994,A-A-59644,Superceding Date: 30-Oct-2001
O-M-575A,"Morpholine, Technical",12-Sep-1975,A-A-59665,Superceding Date: 3-Dec-2001
RR-C-910/1,"Cylinders, Compressed Gases, DOT Specifications 4BA, 4BW, an",11-Dec-1980,A-A-59666,Superceding Date: 26-Dec-2001
FED-STD-209E,Airborne Particulate Cleanliness Classes in Clean Rooms and,11-Sep-1992,ISO 14644-1 Pt1,Superceding Date: 29-Nov-2001
FF-B-187/5,"Bearing, Roller, Tapered. Double Row, One Double Cone, Two",10-Sep-1993,A-A-59653,Superceding Date: 31-Aug-2001
OO-G-686C,"Grinding Machines, Valve Face",22-Feb-1985,A-A-59552,Superceding Date: 18-Jul-2001
WW-C-633D,"Coupling Halves, Cap and Wye; Quick Disconnect Pneumatic Hos",11-May-1992,A-A-59553,Superceding Date: 28-Jun-2001
GGG-S-62D,"Saw, Chain, Portable, Power",24-Oct-1986,A-A-59662,Superceding Date: 5-Jun-2001
SS-T-312B,"Tile, Floor, Asphalt, Rubber Vinyl, and Vinyl Composition (N",10-Oct-1974,ASTM-F 1066,Superceding Date: 31-Mar-1998
A-A-51200,"Press, 'H' Frame, Hydraulic, Hand Operated, Roll Bed",20-Feb-1991,A-A-59384,Superceding Date: 3-Dec-1999
A-A-55012,"Press, H Frame Type, Hydraulic, Electric",28-Apr-1992,A-A-59384,Superceding Date: 3-Dec-1999
QQ-W-428/2,"Wire, Steel, High Carbon, Round, Type III",9-Apr-1991,SAE-AMS-QQ-W-428/2,Superceding Date: 8-Mar-2004
A-A-1912C,"Paper, Copying, Xerographic Processes (Dual Purpose; White a",8-Apr-1994,JCP 0-63,Superceding Date: 24-Nov-1999
GG-S-161/5D,"Scales, Drafting, Surveyor's (Detailed Specification))",1-May-1985,A-A-59269,Superceding Date: 26-Aug-1999
GG-S-161D/GEN,"Scales, Drafting, and Scales, Plotting (General Specificatio",1-May-1985,A-A-59269,Superceding Date: 26-Aug-1999
FF-N-180A,"Needles, Except Surgical, Hand (Notice 1 canc Int Amd 1 date",3-Feb-1966,A-A-55066,Superceding Date: 12-Oct-2000
W-C-440B,"Clips, Electrical, (General Specification For)",11-Aug-1970,A-A-59466,Superceding Date: 15-Aug-1999
PPP-T-0097E,"Tape, Packaging-Sensitive Adhesive, Filament Reinforced",8-Dec-1975,ASTM-D5330,Superceding Date: 11-Jan-1996
UU-P-00328K,"Paper, Manifold",21-Feb-1978,A-A-2987,Superceding Date: 10-Jul-1997
A-A-55008,"""V Blocks and Clamps, Double""V"" Groove, Single Level Clampin",19-Sep-1991,CGSB39-GP-38A,Superceding Date: 3-May-1999
A-A-2270,"Helmet, Safety (Electrical Worker's)",9-Jul-1984,ISEA/ANSI Z89.1,Superceding Date: 10-Aug-1999
A-A-2271,"Helmet, Safety (With Headlamp Clips)",9-Jul-1984,ISEA/ANSI Z89.1,Superceding Date: 10-Aug-1999
A-A-2156A,"Fire Hose, Relay-Supply",6-Jan-1997,NFPA-STD-FIRE HOSE,Superceding Date: 18-Aug-1999
A-A-2869,"Carbon Dioxide, Technical, Solid",17-Jun-1994,CGA STD G-6.2,Superceding Date: 23-Jun-1999
A-A-1545A,"Sodium Chloride, Technical (for Ice Removal)",10-Jul-1997,ASTM-D632,Superceding Date: 23-Jun-1999
K-P-146E,"Tarpaulins, Cotton Duck, Fire, Water, Weather and Mildew Res",13-Feb-1979,MIL-DTL-32063,Superceding Date: 13-Nov-2001
RR-H-00480,"Holder, Toilet Paper Roll",12-May-1964,WW-P-541/8,Superceding Date: 5-Feb-1970
H-B-541C,"Brush, Scrub, Floor, Hand",2-Oct-1961,H-B-1490,Superceding Date: 18-Sep-1969
A-A-59421,"Scales, Dial and Beam Indicating, Baker's, Dough Piece Check",7-Apr-1999,A-A-59475,Superceding Date: 20-Jan-2000
PPP-B-580D,"Box, Household Goods",22-Mar-1979,ASTM-D4169,Superceding Date: 1-Mar-1999
FED-STD-791/6512.1,Load-Carrying Capacity of Steam Turbine Oils,31-Dec-1963,ASTM D 1947-66,Superceding Date: 15-Jan-1969
FED-STD-791/3256.1,Water Separations Characteristics of Aviation Turbine Fuels,1-Jul-1965,ASTM D 2550-66T,Superceding Date: 15-Jan-1969
J-C-98/1211,"Thickness, Metal Tape Armor",11-Sep-1951,FED-STD-228/1211,Superceding Date: 14-Apr-1967
ZZ-R-765/21,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55765,Superceding Date: 25-Mar-1999
ZZ-R-765/55,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55798,Superceding Date: 25-Mar-1999
ZZ-R-765/50,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55793,Superceding Date: 25-Mar-1999
ZZ-R-765/45,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55789,Superceding Date: 25-Mar-1999
ZZ-R-765/41,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55785,Superceding Date: 25-Mar-1999
FED-STD-175/1021,Shear Strength Properties of Adhesives by Flexural Loading,30-Nov-1956,ASTM-D 1184,Superceding Date: 27-Sep-1967
ZZ-R-765/39,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55783,Superceding Date: 25-Mar-1999
ZZ-R-765/33,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55777,Superceding Date: 25-Mar-1999
ZZ-R-765/27,"Rubber, Silicone, Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55771,Superceding Date: 25-Mar-1999
ZZ-R-765/23,"Rubber, Silicone; Non-Metallic Special Shaped Section",21-Feb-1986,A-A-55767,Superceding Date: 25-Mar-1999
ZZ-R-765/12,"Rubber, Silicone; Packing Material",21-Feb-1987,A-A-55756,Superceding Date: 25-Mar-1999
ZZ-R-765/10,"Rubber, Silicone; Round Section",21-Feb-1986,A-A-55754,Superceding Date: 25-Mar-1999
ZZ-R-765/6,"Rubber, Silicone; Channel, Non-Metallic",21-Feb-1986,A-A-55750,Superceding Date: 25-Mar-1999
ZZ-R-765/2,"Rubber, Silicone; Channel, Non-Metallic",21-Feb-1986,A-A-55449,Superceding Date: 25-Mar-1999
ZZ-R-765/58,"Rubber, Silicone; Packing, Preformed",21-Jan-1992,A-A-55801,Superceding Date: 25-Mar-1999
L-P-501,"Plastics; Polyvinylidene Chloride (Saran), Molded",9-May-1949,L-P-1041,Superceding Date: 1-May-1967
R-T-143(1),Tars; (for Use In) Road Construction,3-Aug-1940,R-C-1424,Superceding Date: 8-Mar-1968
UU-C-834A,"Cups, and Lids, Paper, Hot Food or Drink",9-Aug-1954,UU-C-806,Superceding Date: 6-Mar-1967
FED-STD-515/25,Roll Bar Structure for Automotive Vehicles,15-Jul-1966,DOT 49CFR371,Superceding Date: 29-Sep-1967
FED-STD-515/4.1,Energy Absorbing Steering Control System For Automotive Vehi,15-Jul-1966,DOT 49CFR371,Superceding Date: 29-Sep-1967
FED-STD-515/9.1,Hydraulic Service Brake Systems for Automotive Vehicles,15-Jul-1966,DOT 49CFR371,Superceding Date: 29-Sep-1967
UU-B-346D,"Binder, Loose-Leaf, Ring and Prong",24-Jul-1964,UU-B-356,Superceding Date: 8-Mar-1967
T-M-00570A,"Mop, Dusting, Cotton, Slip On (With Handle)",8-Dec-1967,A-A-3011,Superceding Date: 20-Apr-1999
K-B-1378A,"Bag, Soiled Clothes, Nylons",28-Jun-1974,A-A-3079,Superceding Date: 3-Oct-1995
GGG-B-101D(3),"Bars; Chisel, Pinch, Pry, Wrecking, Digging, Tamping, Diggin",18-Apr-1963,A-A-2562,Superceding Date: 6-Dec-1995
PPP-C-1752D(3),"Cushioning Material, Packaging, Polyethylene Foam",26-Dec-1989,A-A-59135,Superceding Date: 28-Oct-1997
PPP-E-540C(2),Envelopes: Water-Resistant for Packing List and Shipping Doc,12-Sep-1973,A-A-1659,Superceding Date: 24-Mar-1992
PPP-D-736D,"Drums, Shipping, Steel DOT-6A, Dot-6B and DOT-17C And Pop",1-Feb-1993,A-A-2877,Superceding Date: 29-Sep-1994
PPP-D-700C,"Drums, Shipping and Storage, Metal, 55-Gallon (for Acid and",10-Nov-1970,RR-D-729A,Superceding Date: 22-Apr-1977
PPP-D-00225A,"Desks, General Office, Steel Packaging, Packing, and Marking",16-Sep-1968,PPP-P-225,Superceding Date: 4-Dec-1974
PPP-C-1842B,"Cushioning Material, Plastic, Open Cell (For Packaging Appli",11-Feb-1992,A-A-3129,Superceding Date: 6-Oct-1997
PPP-C-1337B,"Drum, Shipping, Steel, With Polystyrene Insert",26-Nov-1975,A-A-58020,Superceding Date: 30-Dec-1993
PPP-C-843D,"Cushioning Material, Cellulosic",22-Jul-1977,A-A-1898,Superceding Date: 17-Jun-1991
PPP-C-570,"Containers, Folding, Corrugated, Fiberboard (For Household",10-Oct-1956,JAN-P-108,Superceding Date: 7-Jun-1960
PPP-C-569C(2),"Containers, Plastic, Molded (for Liquids, Pastes, and Powder",18-Aug-1969,A-A-1235,Superceding Date: 29-May-1998
PPP-C-301A,"Chemicals, Dry and Paste: Packaging and Packing of",29-Jun-1970,PPP-C-2020,Superceding Date: 18-Jun-1981
PPP-C-300A,"Chemicals, Liquid: Packaging and Packing of",29-Jun-1970,PPP-C-2020,"Cancelled Date: 28-Mar-1983 Superceding Date: 28-Mar-1983"
PPP-C-58B,"Can, Telescope Top",13-Jan-1992,A-A-2984,Superceding Date: 6-Feb-1996
PPP-B-1364D,"Boxes, Shipping, Corrugated Fiberboard, High Strength, Weath",31-Jan-1992,A-A-2876,Superceding Date: 28-Sep-1994
PPP-B-1358A(2),"Bag, Cotton Duck",23-Feb-1973,A-A-301,Superceding Date: 30-Jul-1991
PPP-B-1089C,"Bag, Plastic (Produce and Poultry)",10-Jul-1978,A-A-1246,Superceding Date: 27-Jul-1991
PPP-B-1087B,"Bag, Cotton Duck (Soil and Grain)",31-Mar-1983,A-A-3124,Superceding Date: 13-Jul-1997
PPP-B-001011,"Boxes, Folding, Paperboard",26-Jul-1965,PPP-B-566,Superceding Date: 6-Jun-1969
PPP-B-665D,"Boxes: Paperboard, Metal Edged and Components",1-Nov-1972,A-A-669,Superceding Date: 26-May-1998
PPP-B-650B(2),"Boxes, Corrugated Fiberboard, Special Purpose (Records Retir",3-Jul-1975,A-A-670,Superceding Date: 19-Dec-1991
PPP-B-640D(1),"Boxes, Fiberboard, Corrugated, Triple-Wall",29-Jul-1966,ASTM-D5168,Superceding Date: 25-Oct-1994
PPP-B-00636L,"Boxes, Shipping, Fiberboard",1-Jan-1991,ASTM-D5118,Superceding Date: 1-Mar-1994
PPP-B-636J,"Boxes, Shipping, Fiberboard",12-Jun-1981,ASTM-D5118,Superceding Date: 1-Mar-1994
PPP-B-601H,"Boxes, Wood, Cleated-Plywood (Notice 1 canc Int Amd 2 9/10/9",22-May-1989,ASTM-06251,Superceding Date: 26-Feb-2001
