Document Number,Document Title,FSC,Preparing Activity,Date,Notice/ Date,Amendment/ Date,Interim Amendment/ Date
W-F-1814/67B,"Fuses, Cartridge, High-Interrupting Capacity, Classes Rk1 an",5920,CC,12-Jan-2004,"Notice: 0
--",,"Int Amendment: 0
--"
W-F-1814C/GEN,"Fuses, Cartridge, High Interrupting Capacity",5920,CC,7-Oct-2005,,,
W-F-2917,"Floodlight Set, Electric, Diesel-Engine-Driven, Trailer Moun",6230,YD1,17-Jan-1997,,,
W-G-656D(4),"Grinding Machine, and Grinding and Buffing Machine Utility,",3415,IP,15-Oct-1973,,,
W-L-101/89C,"Lamp, Incandescent 6 Watt, 155 Volts, S-6 Bulb Clear Candela",6240,AS,10-Jun-1981,,,
W-L-101/90A,"Lamp, Incandescent 10 Watt, 230 Volts, S-6 Bulb Clear, Cande",6240,AS,21-Nov-1977,,,
W-L-101/91A,"Lamp, Incandescent 10 Watt, 250 Volts, S-6 Bulb Clear, Cande",6240,AS,21-Nov-1977,,,
W-L-101/92B,"Lamp, Incandescent 3 Watt, 120 Volts, S-6 Bulb Clear, Candel",6240,AS,21-Nov-1977,,,
W-L-101/94A,"Lamp, Incandescent 25 Watt, 120 Volts, T-10 Bulb Inside Fros",6240,AS,21-Nov-1977,,,
W-L-101/95B,"Lamp, Incandescent 6 Watt, 120 Volts, T-4-1/2 Bulb Clear, Ca",6240,AS,21-Nov-1977,,,
W-L-101/98A,"Lamp, Incandescent 10 Watt, 120 Volts, S-14 Bulb Inside Fros",6240,AS,21-Nov-1977,,,
W-L-101/99A,"Lamp, Incandescent 25 Watt, 120 Volts, T-6 1/2 Bulb Clear In",6240,AS,21-Nov-1977,,,
FF-R-556D(1),"Rivet, Solid, Small; Rivet, Split, Small; Rivet Tubular, Sma",5310,AR,1-Aug-1986,,,
FF-S-85D,"Screw, Cap, Slotted and Hexagon Head",5305,IS,10-Mar-2005,"Notice: 2
22-Feb-2002","Amendment: 4
16-Jan-1991",
FF-S-86E(4),"Screw, Cap, Socket Head - Notice 2 Reactivation",5305,IS,29-May-1987,,"Amendment: 1
14-Dec-1994",
RR-K-193E,"Kettles, Steam-Jacketed (Stainless Steel), Gas",7310,GL,27-Mar-1987,,,
RR-P-1353C,"Partitions, Toilet, Complete",5670,YD1,8-Feb-1989,,,
GGG-G-61,"Gages, Plug and Ring, Plain and Thread (Inactive)",5220,AR,23-Aug-1932,,,
GGG-P-61A(2),"Parallels; Steel and Cast-Iron, Precision-Ground",5220,84,6-Jul-1966,,,
W-C-596/11D,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
25-Oct-2006",,
W-C-596/64D,"Connector, Receptacle, Electrical, General Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
25-Oct-2006",,
W-C-596/161B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,"Notice: 1
25-Oct-2006",,
W-C-596/163B,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,19-Oct-2001,"Notice: 1
6-Oct-2006",,
W-C-596/46C,"Connector, Receptacle, Electrical, Specific Purpose, Single,",5935,CC,19-Oct-2001,"Notice: 1
24-Oct-2006",,
W-C-596/175B,"Connector, Receptacle, Electrical, Male Inlet, General Purpo",5935,CC,19-Oct-2001,"Notice: 1
24-Oct-2006",,
W-C-596/177B,"Connector, Plug, Electrical, General Purpose, Grounding, 2",5935,CC,19-Oct-2001,"Notice: 1
24-Oct-2001",,
L-F-315C,"Film, Diazotype, Sensitized (Direct Image Microforms)-Notice",6750,AS,15-Nov-1971,,,
L-F-320B,"Film, Thermal, Developing",6750,AS,4-May-1965,,,
L-F-00320D,"Film, Thermal Developing, Vesicular",6750,AS,21-Aug-1975,,"Amendment: 2
20-Apr-1962",
L-F-333A,"Film, Photographic, Motion Picture (Black and White)",6750,EL,26-Feb-1974,,,
L-F-340B(2),"Film, Diazotype, Sensitized; Moist and Dry Process; Roll and",6750,AS,29-Mar-1973,,,
W-L-101/100A,"Lamp, Incandescent 40 Watt, 120 Volts, T-8 Bulb Clear Medium",6240,AS,21-Nov-1977,,,
W-L-101/101A,"Lamp, Incandescent 100 Watt, 130 Volts, A-19 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/102A,"Lamp, Incandescent 100 Watt, 120 Volts, A-21 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/103A,"Lamp, Incandescent 100 Watt, 130 Volts, A-21 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/104A,"Lamp, Incandescent 150 Watt, 120 Volts, A-21 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/105A,"Lamp, Incandescent 150 Watt, 125 Volts, A-21 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/106A,"Lamp, Incandescent 150 Watt, 130 Volts, A-21 Bulb Inside Fro",6240,AS,21-Nov-1977,,,
W-L-101/107A,"Lamp, Incandescent 150 Watt, 115 Volts, Ps-25 Bulb Inside Fr",6240,AS,21-Nov-1977,,,
W-L-101/108A,"Lamp, Incandescent 150 Watt, 130 Volts, Ps-25 Bulb Inside Fr",6240,AS,21-Nov-1977,,,
W-L-101/109A,"Lamp, Incandescent 200 Watt, 130 Volts, Ps-30 Bulb Clear Med",6240,AS,21-Nov-1977,,,
W-L-101/110A,"Lamp, Incandescent 300 Watt, 120 Volts, Ps-35 Bulb Clear Mog",6240,AS,21-Nov-1977,,,
W-L-101/111A,"Lamp, Incandescent 300 Watt, 125 Volts, Ps-35 Bulb Clear Mog",6240,AS,21-Nov-1977,,,
W-L-101/112A,"Lamp, Incandescent 300 Watt, 130 Volts, Ps-35 Bulb Clear Mog",6240,AS,21-Nov-1977,,,
W-L-101/113A,"Lamp, Incandescent 300 Watt, 120 Volts, Ps-35 Bulb Clear Mog",6240,AS,21-Nov-1977,,,
W-L-101/114A,"Lamp, Incandescent 500 Watt, 130 Volts, Ps-35 Bulb Inside Fr",6240,AS,21-Nov-1977,,,
W-L-101/115A,"Lamp, Incandescent 500 Watt, 120 Volts, Ps-40 Bulb Inside Fr",6240,AS,21-Nov-1977,,,
W-L-101/116A,"Lamp, Incandescent 75 Watt, 130 Volts, Ps-52 Bulb Clear Mogu",6240,AS,22-Nov-1977,,,
W-L-101/117A,"Lamp, Incandescent 750 Watt, 120 Volts, Ps-52 Bulb Clear Mog",6240,AS,22-Nov-1977,,,
W-L-101/118A,"Lamp, Incandescent 150 Watt, 120 Volts, Ps-52 Bulb Clear Mog",6240,AS,22-Nov-1977,,,
W-L-101/119A,"Lamp, Incandescent Trade No. 40 A/W, 40 Watt, 120 Volts, A-1",6240,AS,11-Nov-1977,,,
W-L-101/120A,"Lamp, Incandescent Trade No. 60 A/W, 60 Watt, 120 Volts, A-1",6240,AS,11-Nov-1977,,,
W-L-101/121A,"Lamp, Incandescent Trade No. 75 A/W, 75 Watt, 120 Volts, A-1",6240,AS,11-Nov-1977,,,
W-L-101/122A,"Lamp, Incandescent Trade No. 100 A/W, 100 Watt, 120 Volts,",6240,AS,11-Nov-1977,,,
W-L-101/123B,"Lamp, Incandescent Trade No. 100 A/W, 100 Watt, 125 Volts,",6240,AS,1-Dec-1977,,,
W-L-101/124A,"Lamp, Incandescent Trade No. 200A/99, 200 Watt, 130 Volts,",6240,AS,22-Nov-1977,,,
W-L-101/125A,"Lamp, Incandescent Trade No. 300/Rs, 300 Watt, 120 Volts, Ps",6240,AS,22-Nov-1977,,,
RR-S-331D,Shoes: for Wood Piles,5680,YD1,12-Sep-1989,,"Amendment: 1
20-Feb-1986",
RR-S-550D(1),"Sockets, Wire Rope",4030,GS,7-Feb-1980,,"Amendment: 1
1-Feb-1978",
RR-S-615C(1),"Sponges, Metal",7920,GL,4-Sep-1969,,,"Int Amendment: 1
7-Sep-1961"
SS-S-1401C(1),"Sealant, Joint, Non-Jet-Fuel-Resistant, Hot-Applied, for Por",8030,YD1,15-Aug-1984,,,
SS-S-1614A(1),"Sealants, Joint, Jet-Fuel-Resistant, Hot-Applied, for Portla",8030,YD1,15-Aug-1984,,,
GGG-P-441A,"Plates, Angle, Adjustable and Solid",5220,PA,9-Apr-1965,,"Amendment: 1
23-Apr-1979",
GGG-P-453A(1),"Plate, Surface, Cast Iron",5220,99,8-Apr-1965,,"Amendment: 1
15-Jun-1977",
GGG-P-463C(1),"Plate, Surface, (Granite) (Inch and Metric)",5220,NBS,10-Sep-1973,,,
WW-L-2887,"Tube, Phenolic, Porous Retainer for Use In Instrument Bearin",9330,AS,20-Jul-1998,"Notice: 3
2-Aug-2005",,
L-P-380C,Plastic Molding Material Methacrylate,9330,MR,24-Aug-1973,"Notice: 1
30-Oct-1991","Amendment: 1
10-Jan-1973",
L-P-383(1),"Plastic Material, Polyester Resin, Glass Fiber Base, Low Pre",9330,AS,24-Oct-1967,,,
L-P-386C,"Plastic Material, Cellular, Urethane (Flexible)",9330,MR,26-Aug-1977,"Notice: 2
1-Jun-2000","Amendment: 2
6-Aug-1984",
L-P-390C(2),"Plastic, Molding and Extrusion Material, Polyethylene and Co",9330,GS,10-Aug-1971,"Notice: 2
2-Mar-2000","Amendment: 1
6-Jun-1990",
L-P-397C,"Plastic Molding Material, Cellulose Acetate",9330,MR,16-Dec-1977,,"Amendment: 1
15-May-1968",
L-P-410A(4),"Plastic Polyamide (Nylon), Rigid, Rods, Tubes, Flats, Molded",9330,AS,16-Mar-1966,,,
L-P-504E,"Plastic Sheet and Film, Cellulose Acetate",9330,AS,17-Jun-1991,,,
L-P-511(1),"Plastic Sheet, Laminated, Thermosetting, Cotton Fabric Base,",9330,AS,2-Dec-1964,"Notice: 3
22-Jan-2001",,
L-P-516A,"Plastic Sheet and Plastic Rod, Thermosetting, Cast",9330,GS,21-Mar-1967,"Notice: 1
31-May-2001","Amendment: 1
9-Jul-1974",
L-P-519C,"Plastic Sheet Tracing, Glazed and Matte Finish",9330,AR,7-Jul-1977,,,
W-L-101/126A,"Lamp, Incandescent Trade No. 150 A/W, 150 Watt, 120 Volts,",6240,AS,11-Nov-1977,,,
W-L-101/127A,"Lamp, Incandescent Trade No. 200A25, 200 Watt, 120 Volts, Ps",6240,AS,24-Nov-1977,,,
W-L-101/128A,"Lamp, Incandescent Trade No. 200A25, 200 Watt, 130 Volts, Ps",6240,AS,22-Nov-1977,,,
W-L-101/129A,"Lamp, Incandescent Trade No. 200A25, 200 Watt, 120 Volts, Ps",6240,AS,22-Nov-1977,,,
W-L-101/130,"Lamp, Incandescent Trade No. 6S6Dc, 6 Watt, 120 Volt, S-6 Bu",6240,AS,21-Jan-1981,"Notice: 1
8-Feb-1979",,
W-L-101H/GEN,"Lamp, Incandescent (Electric, Large Tungsten Filament) (Gene",6240,AS,6-Dec-1977,,,
GG-I-460(1),"Illuminators; Microscope, 115 Volt",6525,DM,21-Jul-1952,,,
TT-B-1325D,Beads (Glass Spheres) Retro-Reflective,8010,84,10-Jul-2007,,"Amendment: 1
23-Jun-1977",
TT-C-492C(1),"Coating Compound, Paint Antisweat",8010,SH,31-May-1974,"Notice: 1
20-Mar-1991",,
GGG-S-58F,"Saw, Radial-Overarm, Woodworking- Notice 1 is inactive for n",3220,IS,12-Aug-1993,,"Amendment: 3
23-Feb-1979","Int Amendment: 0
--"
QQ-S-698(4),"Steel Sheet and Strip, Low Carbon",9515,IS,11-Sep-1961,,,"Int Amendment: 0
--"
TT-C-490E,Chemical Conversion Coatings and Pretreatments For Ferrous S,MFFP,MR,22-Jul-2002,,,
L-P-527B,"Plastic Sheet, Styrene Butadiene",9330,MR,8-Aug-1973,,,
L-P-535E,Plastic Sheet (Sheeting): Plastic Strip: Poly (Vinyl Chlorid,9330,MR,27-Apr-1979,,,
L-P-1040B,Plastic Sheets and Strips (Polyvinyl Fluoride),9330,MR,22-Jul-1977,"Notice: 1
10-Feb-1987",,
L-S-125B,"Screening, Insect, Non-Metallic",8305,GL,3-Feb-1972,,,
L-T-80B,"Tape, Pressure Sensitive Adhesive (Aluminum Backed)",8030,MR,1-Oct-1971,,,
W-L-00116/1B,"Lamp, Fluorescent Trade No. F6T5/Cw, Preheat, 6 Watt, T-5 Bu",6240,AS,26-May-1976,,,
W-L-00116/3C,"Lamp, Florescent Trade No. F8T5/Cw, Preheat, 8 Watt, T-5 Bul",6240,AS,26-May-1976,,,
W-L-00116/5A,"Lamp, Fluorescent Trade No. F30T8/Cw, Preheat, 30 Watt, T-8",6240,AS,26-May-1976,,,
W-L-00116/6C,"Lamp, Fluorescent Trade No. F8T5/D, Preheat, 8 Watt, T-5 Bul",6240,AS,26-May-1976,,,
W-L-00116/7B,"Lamp, Fluorescent Trade No. F14T12/Cw, Preheat, 14 Watt, T-1",6240,AS,26-Aug-1977,,,
W-L-00116/8A,"Lamp, Fluorescent Trade No. F14T12/W, Preheat, 14 Watt, T-12",6240,AS,26-May-1976,,,
W-L-00116/9A,"Lamp, Fluorescent Trade No. F15T8/Cw, Preheat, 15 Watt, T-8",6240,AS,26-May-1976,,,
W-L-00116/10A,"Lamp, Fluorescent Trade No. F15T8/W, Preheat, 15 Watt, T-8",6240,AS,26-May-1976,,,
W-L-00116/11A,"Lamp, Fluorescent Trade No. F15T8/Ww, 15 Watt, T-8 Bulb Warm",6240,AS,26-May-1976,,,
W-L-00116/12A,"Lamp, Fluorescent Trade No. F15T8/D, Preheat, 15 Watt, T-8",6240,AS,26-May-1976,,,
W-L-00116/13A,"Lamp, Fluorescent Trade No. F15T12/Cw, Preheat, 15 Watt, T-1",6240,AS,26-Apr-1976,,,
W-L-00116/14A,"Lamp, Fluorescent Trade No. F15T12/W, Preheat, 15 Watt, T-12",6240,AS,26-May-1976,,,
W-L-00116/15A,"Lamp, Fluorescent Trade No. F15T12/D, Preheat, 15 Watt, T-12",6240,AS,26-May-1976,,,
W-L-00116/17A,"Lamp Fluorescent Trade No. F20T12/W, Preheat, 20 Watt, T-12",6240,AS,27-May-1976,,,
W-L-00116/18A,"Lamp Fluorescent Trade No. F20T12/D, Preheat, 20 Watt, T-12",6240,AS,27-May-1976,,,
W-L-00116/19A,"Lamp Fluorescent Trade No. F30T8/W, Preheat, 30 Watt, T-8 Bu",6240,AS,27-May-1976,,,
W-L-00116/20A,"Lamp Fluorescent Trade No. F30T8/D, Preheat, T-8 Bulb Daylig",6240,AS,27-May-1976,,,
W-L-00116/21B,"Lamp Fluorescent Trade No. F90T12/Cw or F90T17/Cw, Preheat,",6240,AS,4-Nov-1977,,,
W-L-00116/22B,"Lamp Fluorescent Trade No. F90T12/W or F90T17/W, 90 Watt, T-",6240,AS,4-Nov-1977,,,
GG-N-211B,"Needle, Suture, (Eyed)",6515,DM,29-Aug-1961,,,
GG-S-812A,"Sutures, Surgical, Gut",6520,MB,9-Jun-1950,"Notice: 1
30-Oct-1988","Amendment: 4
4-Sep-1973","Int Amendment: 0
--"
GG-S-00812C(4),"Sutures, Absorbable, Surgical (Gut)",6515,MB,14-Dec-1965,"Notice: 1
1-Mar-1989","Amendment: 1
17-Dec-1951",
TT-N-97D,Naphtha; Aromatic-Notice 1 is inactive for new design,6810,AS,12-Jun-2007,,,
TT-N-350B,"Nitrocellulose, Technical (for Use in Organic Coatings)",6810,CR,19-Sep-1973,,"Amendment: 1
2-Aug-1951",
TT-P-28H,"Paint, Aluminum, Heat Resisting (1200 F)",8010,SH,28-Jun-2007,,,
GGG-T-563A(4),"Tools, Blacksmiths': Chisels, Flatters, Fullers, Set Hammers",5120,GL,9-Jun-1958,,"Amendment: 1
27-May-1968",
GGG-T-00563B(1),"Tools, Blacksmiths': Chisels, Flatters, Fullers, Hardies, Bo",5120,GL,4-Jan-1967,,,"Int Amendment: 1
16-Jun-1977"
GGG-W-644C,"Wrench, Socket (Wheel Nut)",5120,IS,30-Apr-1992,,"Amendment: 1
12-Sep-1968",
GGG-W-648B,"Wrench, Lineman's",5120,IS,30-Apr-1992,,,
W-C-596/205B,"Connector, Plug, Electrical, General Purpose, Grounding, 3",5935,CC,19-Oct-2001,,,
OO-S-256/12B,"Sewing Machines, Industrial; Single-Needle, Heavy-Leather Du",3530,IS,16-Nov-1978,,,
W-C-596/7C,"Connector, Plug, Electrical, Specific Purpose , General Grad",5935,CC,20-Jul-2001,,,
L-T-100B,"Tape, Pressure Sensitive Adhesive, Polyester Film",7510,FSS,12-Jul-1988,,,
N-B-35K(1),"Bakery Mixes, Prepared",8920,GL,8-Aug-1984,,"Amendment: 1
17-Sep-1965",
O-A-445C,"Ammonia, Technical",6830,CR,6-Aug-2003,"Notice: 1
13-May-1987",,
O-A-498,"Ammonium Dichromate, Photographic (Ammonium Bichromate)",6750,OS,7-Sep-1966,,,
W-L-00116/23B,"Lamp Fluorescent Trade No. F90T12/D or F90T17/D, Preheat, 90",6240,AS,4-Nov-1977,,,
W-L-00116/24B,"Lamp Fluorescent Trade No. Fc8T9/Cw/Rs, Rapid Start, 22 Watt",6240,AS,26-Aug-1977,,,
W-L-00116/25B,"Lamp Fluorescent Trade No. Fc12T10/Cw/Rs, Rapid Start, 32 Wa",6240,AS,26-Aug-1977,,,
W-L-00116/26A,"Lamp Fluorescent Trade No. F30T12/Cw/Rs, Rapid Start, 30 Wat",6240,AS,27-May-1976,,,
W-L-00116/27A,"Lamp Fluorescent Trade No. F30T12/Ww/Rs, Rapid Start, 30 Wat",6240,AS,27-May-1976,,,
W-L-00116/32A,"Lamp Fluorescent Trade No. F48T12/Cw/Ho, Rapid Start, 60 Wat",6240,AS,27-Jun-1976,,,
W-L-00116/34A,"Lamp Fluorescent Trade No. F96T12/Cw/1500, Rapid Start, 215",6240,AS,27-May-1976,,,
W-L-00116/35A,"Lamp Fluorescent Trade No. F40T12/Cw/Is, 40 Watt, T-12 Bulb",6240,AS,27-May-1976,,,
W-L-00116/36A,"Lamp Fluorescent Trade No. F48T12/Cw, Instant Start, 40 Watt",6240,AS,27-May-1976,,,
W-L-00116/38A,"Lamp Fluorescent Trade No. F48T12/D, Instant Start, 40 Watt,",6240,AS,27-May-1976,,,
